Sheet,RefDes,Qty,Category,ValueOrMPN,SuggestedFootprint,Function,Status,Notes
top-level,Sheet-IO,1,hierarchical-sheet,io-board.kicad_sch,HierarchicalSheet,"Input / Output board sheet",planned,"Balanced I/O boundary"
top-level,Sheet-Tank,1,hierarchical-sheet,tank-driver-recovery.kicad_sch,HierarchicalSheet,"Tank driver / recovery sheet",planned,"Primary and secondary spring-tank electronics"
top-level,Sheet-Ext,1,hierarchical-sheet,ext-tank-routing.kicad_sch,HierarchicalSheet,"Ext routing sheet",planned,"Off / Series / Parallel routing"
top-level,Sheet-XFade,1,hierarchical-sheet,crossfade-feedback-wet.kicad_sch,HierarchicalSheet,"Crossfade / feedback / wet sheet",planned,"Loop and wet handoff"
top-level,Sheet-Filter,1,hierarchical-sheet,filter-clipper.kicad_sch,HierarchicalSheet,"Filter / clipper sheet",planned,"HPF drive clip LPF"
top-level,Sheet-Power,1,hierarchical-sheet,power-backplane.kicad_sch,HierarchicalSheet,"Power / control backplane sheet",planned,"DC entry and rail conversion"
io-board,U1,1,ic,OPA1644AIDR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,"Balanced receiver and mono routing utility",planned,"JFET/BiFET input preference"
io-board,U2,1,ic,OPA1656IDR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Wet/dry mixer L/R",planned,"Dual op amp"
io-board,U3,1,ic,OPA1656IDR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Balanced output driver left hot/cold",planned,"Dual op amp"
io-board,U4,1,ic,OPA1656IDR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Balanced output driver right hot/cold",planned,"Dual op amp"
io-board,J1,1,connector,NCJ6FI-S,Connector_Audio:Neutrik_NCJ6FI-S,"Left combo input jack",planned,"Panel part; likely DNP on SMT quote"
io-board,J2,1,connector,NCJ6FI-S,Connector_Audio:Neutrik_NCJ6FI-S,"Right combo input jack",planned,"Panel part; likely DNP on SMT quote"
io-board,J3,1,connector,NCJ6FI-S,Connector_Audio:Neutrik_NCJ6FI-S,"Left combo output jack",planned,"Panel part; output convention sanity-check still open"
io-board,J4,1,connector,NCJ6FI-S,Connector_Audio:Neutrik_NCJ6FI-S,"Right combo output jack",planned,"Panel part; output convention sanity-check still open"
io-board,P1,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Power input",planned,"+15VA AGND -15VA"
io-board,P2,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Wet send",planned,"WET_SEND_L AGND WET_SEND_R"
io-board,P3,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Wet return",planned,"WET_SUM_L AGND WET_SUM_R"
io-board,P4,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Dry distribution",planned,"DRY_L AGND DRY_R"
io-board,P5,1,connector,B6B-XH-A,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,"Wet/dry local control header",planned,"6-wire stereo control if pot is off-board"
io-board,P6,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Mono switch local control header",planned,"Only used if switch is off-board"
tank-driver-recovery,U101,1,ic,OPA1656IDR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Primary send predrivers L/R",planned,"Dual op amp"
tank-driver-recovery,U102,1,ic,OPA1656IDR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Secondary send drivers L/R",planned,"Dual op amp"
tank-driver-recovery,U103,1,ic,OPA1656IDR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Primary recovery L/R",planned,"Dual op amp"
tank-driver-recovery,U104,1,ic,OPA1656IDR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Secondary recovery L/R",planned,"Dual op amp"
tank-driver-recovery,Q101,1,transistor,BD139-16,Package_TO_SOT_THT:TO-126-3_Vertical,"Primary left NPN output device",planned,"Through-hole"
tank-driver-recovery,Q102,1,transistor,BD140-16,Package_TO_SOT_THT:TO-126-3_Vertical,"Primary left PNP output device",planned,"Through-hole"
tank-driver-recovery,Q103,1,transistor,BD139-16,Package_TO_SOT_THT:TO-126-3_Vertical,"Primary right NPN output device",planned,"Through-hole"
tank-driver-recovery,Q104,1,transistor,BD140-16,Package_TO_SOT_THT:TO-126-3_Vertical,"Primary right PNP output device",planned,"Through-hole"
tank-driver-recovery,P101,1,connector,B6B-XH-A,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,"Primary bundle",planned,"PRI send/return pair"
tank-driver-recovery,P102,1,connector,B6B-XH-A,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,"Secondary bundle",planned,"SEC send/return pair"
tank-driver-recovery,P103,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Power input",planned,"+15VA AGND -15VA"
tank-driver-recovery,J101-J108,8,connector,TBD,RCA_or_wire_landing_TBD,"Tank send/return landings",planned,"Freeze after mechanical connector choice"
ext-tank-routing,U201,1,ic,OPA1679IDR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,"Routing buffers summing makeup",planned,"Quad op amp"
ext-tank-routing,K201,1,relay,G6K-2F-Y-DC5,Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y,"Routing relay",planned,"5V coil"
ext-tank-routing,K202,1,relay,G6K-2F-Y-DC5,Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y,"Routing relay",planned,"5V coil"
ext-tank-routing,K203,1,relay,G6K-2F-Y-DC5,Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y,"Routing relay",planned,"5V coil"
ext-tank-routing,K204,1,relay,G6K-2F-Y-DC5,Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y,"Routing relay",planned,"5V coil"
ext-tank-routing,P201,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Wet input",planned,"From I/O board"
ext-tank-routing,P202,1,connector,B6B-XH-A,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,"Primary tank bundle",planned,"To tank board"
ext-tank-routing,P203,1,connector,B6B-XH-A,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,"Secondary tank bundle",planned,"To tank board"
ext-tank-routing,P204,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Routed output",planned,"To crossfade board"
ext-tank-routing,P205,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Feedback reinjection",planned,"From crossfade board"
ext-tank-routing,P206,1,connector,TBD,TBD,"Mode/amount control landing",planned,"May terminate on control backplane"
ext-tank-routing,P207,1,connector,B4P-VH-B,Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical,"Power input",planned,"+15VA AGND -15VA +5VAUX"
crossfade-feedback-wet,U301,1,ic,OPA1679IDR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,"Crossfade feedback wet handoff",planned,"Quad op amp"
crossfade-feedback-wet,P301,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Input from routing",planned,"TANK_MIX_L AGND TANK_MIX_R"
crossfade-feedback-wet,P302,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Output to filter",planned,"XFADE_OUT_L AGND XFADE_OUT_R"
crossfade-feedback-wet,P303,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Return from filter",planned,"FILTCLIP_OUT_L AGND FILTCLIP_OUT_R"
crossfade-feedback-wet,P304,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Wet return to I/O",planned,"WET_SUM_L AGND WET_SUM_R"
crossfade-feedback-wet,P305,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Feedback reinjection output",planned,"FB_RET_L AGND FB_RET_R"
crossfade-feedback-wet,P306,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Power input",planned,"+15VA AGND -15VA"
crossfade-feedback-wet,P307,1,connector,TBD,TBD,"Control landing",planned,"Crossfade and feedback controls if off-board"
filter-clipper,U401,1,ic,OPA1679IDR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,"HPF and drive stages",planned,"Quad op amp"
filter-clipper,U402,1,ic,OPA1679IDR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,"LPF and output stages",planned,"Quad op amp"
filter-clipper,P401,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Input from crossfade",planned,"XFADE_OUT_L AGND XFADE_OUT_R"
filter-clipper,P402,1,connector,B3B-XH-A,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Output to crossfade",planned,"FILTCLIP_OUT_L AGND FILTCLIP_OUT_R"
filter-clipper,P403,1,connector,B12B-XH-A,Connector_JST:JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical,"Control landing group A",planned,"Drive and HPF control landing"
filter-clipper,P404,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Power input",planned,"+15VA AGND -15VA"
filter-clipper,P405,1,connector,B12B-XH-A,Connector_JST:JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical,"Control landing group B",planned,"LPF and clip-mode control landing"
filter-clipper,D401-D412,12,diode,set,TBD,"Clip networks",planned,"Silicon LED and germanium families"
power-backplane,J500,1,connector,PJ-005A,TBD,"Service-endcap DC input jack",planned,"5.5 x 2.1 mm center-positive panel jack"
power-backplane,D500,1,diode,SS34,Diode_SMD:D_SMA,"Reverse-polarity protection",planned,"Series Schottky"
power-backplane,F500,1,fuse,MF-R100,Fuse:Fuse_1812_4532Metric,"Input polyfuse",planned,"Low-voltage protection"
power-backplane,TVS500,1,tvs,SMAJ33A,Diode_SMD:D_SMA,"Input surge clamp",planned,"33V standoff"
power-backplane,C500,1,capacitor,EEU-FR1E221,Capacitor_THT_or_SMD_TBD,"Bulk input capacitor",planned,"Power-path electrolytic acceptable"
power-backplane,PS500,1,power-module,URA2415YMD-10WR3,TBD,"Isolated +/-15V DC-DC",planned,"Primary rail generator"
power-backplane,PS501,1,power-module,R-78E5.0-0.5,TBD,"+5VAUX regulator",planned,"Fed from +15VA"
power-backplane,FB500,1,ferrite,BLM18PG471SN1,Inductor_SMD:L_0603_1608Metric,"+15V ripple filter bead",planned,"Per-rail bead"
power-backplane,FB501,1,ferrite,BLM18PG471SN1,Inductor_SMD:L_0603_1608Metric,"-15V ripple filter bead",planned,"Per-rail bead"
power-backplane,P501,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"I/O board power",planned,"+15VA AGND -15VA"
power-backplane,P502,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Tank board power",planned,"+15VA AGND -15VA"
power-backplane,P503,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Crossfade board power",planned,"+15VA AGND -15VA"
power-backplane,P504,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Filter board power",planned,"+15VA AGND -15VA"
power-backplane,P505,1,connector,B3P-VH-B,Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical,"Spare utility power",planned,"Reserved output"
power-backplane,P506,1,connector,B4P-VH-B,Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical,"Ext-routing board power",planned,"+15VA AGND -15VA +5VAUX"
power-backplane,P601,1,connector,B4P-VH-B,Connector_JST:JST_VH_B4P-VH_1x04_P3.96mm_Vertical,"Control-backplane power",planned,"If control backplane is separate"
power-backplane,U601,1,ic,ULN2003ADR,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"Optional relay-driver array",optional,"Stuff only if required by relay strategy"
